Mix100
 
VEHICLE
NUMBER     CAPACITY
  8           1


CUSTOMER						
CUST NO,   XCOORD,	YCOORD,      DEMAND  READY TIME DUE DATE SERVICE TIME   
						
0	55.179139	8.749196	0	0	1236	0
1	55.58866602	8.98256114	0	0	1236	0
2	56.11758898	8.77631721	0	0	1236	0
3	55.87980655	9.02069012	0	0	1236	0
4	56.46786022	10.15187434	0	0	1236	0
5	56.78868223	9.6314021	0	0	1236	0
6	55.09213876	9.41740446	0	0	1236	0
7	55.264818	9.402603	0	0	1236	0
8	56.484904	9.493019	1	0	1236	90
9	57.715010	10.530930	1	0	1236	90
10	55.743182	9.110499	1	0	1236	90
11	57.591470	9.966300	1	0	1236	90
12	56.925596	9.785459	1	0	1236	90
13	56.411800	10.877340	1	0	1236	90
14	56.817306	9.156900	1	0	1236	90
15	56.958790	8.646950	1	0	1236	90
16	55.178018	9.343115	1	0	1236	90
17	56.491500	8.601930	1	0	1236	90
18	55.129887	9.291400	1	0	1236	90
19	56.361810	8.607960	1	0	1236	90
20	57.014121	9.719103	1	0	1236	90
21	56.133420	8.972880	1	0	1236	90
22	56.845080	8.774633	1	0	1236	90
23	55.466160	8.730690	1	0	1236	90
24	57.180617	9.788687	1	0	1236	90
25	54.935040	9.257610	1	0	1236	90
26	56.336590	9.545642	1	0	1236	90
27	56.343730	8.344940	1	0	1236	90
28	55.082690	9.415093	1	0	1236	90
29	55.618030	8.488460	1	0	1236	90
30	56.238770	9.114410	1	0	1236	90
31	57.625070	10.435480	1	0	1236	90
32	54.977031	9.632938	1	0	1236	90
33	57.590570	9.969820	1	0	1236	90
34	56.865353	8.672062	1	0	1236	90
35	56.412700	10.880130	1	0	1236	90
36	55.983909	9.111945	1	0	1236	90
37	56.958790	8.646950	1	0	1236	90
38	54.974117	9.173495	1	0	1236	90
39	56.491500	8.601930	1	0	1236	90
40	57.514818	10.132712	1	0	1236	90
41	56.361680	8.616310	1	0	1236	90
42	56.420287	10.795615	1	0	1236	90
43	56.132840	8.977710	1	0	1236	90
44	55.082690	9.415093	1	0	1236	90
45	55.467880	8.757390	1	0	1236	90
46	55.597185	9.231321	1	0	1236	90
47	54.936290	9.258140	1	0	1236	90
48	56.298101	9.351146	1	0	1236	90
49	56.343620	8.345210	1	0	1236	90
50	56.705124	9.734857	1	0	1236	90
51	55.617440	8.487860	1	0	1236	90
52	55.710259	9.813868	1	0	1236	90
53	57.724480	10.559290	1	0	1236	90
54	57.014121	9.719103	1	0	1236	90
55	57.590930	9.968850	1	0	1236	90
56	56.067861	9.423182	1	0	1236	90
57	56.412780	10.880070	1	0	1236	90
58	55.734586	9.031597	1	0	1236	90
59	56.957890	8.602450	1	0	1236	90
60	57.054572	9.099768	1	0	1236	90
61	56.490910	8.606490	1	0	1236	90
62	56.925596	9.785459	1	0	1236	90
63	56.361810	8.607960	1	0	1236	90
64	56.413803	9.800718	1	0	1236	90
65	56.132840	8.977710	1	0	1236	90
66	56.333726	8.584778	1	0	1236	90
67	55.468380	8.765760	1	0	1236	90
68	56.613512	10.185935	1	0	1236	90
69	54.934810	9.257540	1	0	1236	90
70	56.317143	9.134014	1	0	1236	90
71	56.345320	8.347660	1	0	1236	90
72	55.597185	9.231321	1	0	1236	90
73	55.617440	8.487860	1	0	1236	90
74	56.246634	8.786856	1	0	1236	90
75	57.693410	10.490460	1	0	1236	90
76	57.594173	10.350335	1	0	1236	90
77	57.590570	9.969820	1	0	1236	90
78	56.423445	9.337640	1	0	1236	90
79	56.409060	10.872000	1	0	1236	90
80	55.927895	9.661156	1	0	1236	90
81	56.960460	8.636720	1	0	1236	90
82	55.806606	8.657993	1	0	1236	90
83	56.488030	8.612240	1	0	1236	90
84	56.431202	10.913461	1	0	1236	90
85	56.361680	8.616310	1	0	1236	90
86	56.485773	8.787213	1	0	1236	90
87	56.132840	8.977710	1	0	1236	90
88	57.171079	9.599551	1	0	1236	90
89	55.464500	8.706870	1	0	1236	90
90	57.446006	10.040819	1	0	1236	90
91	54.932990	9.256970	1	0	1236	90
92	56.469914	10.134614	1	0	1236	90
93	56.347830	8.350470	1	0	1236	90
94	55.082690	9.415093	1	0	1236	90
95	55.616180	8.484240	1	0	1236	90
96	55.826881	9.287136	1	0	1236	90
97	57.722720	10.542720	1	0	1236	90
98	55.457812	8.886371	1	0	1236	90
99	57.591200	9.967900	1	0	1236	90
100	56.423445	9.337640	1	0	1236	90
101	56.408450	10.871580	1	0	1236	90
102	55.178018	9.343115	1	0	1236	90
103	56.955480	8.593470	1	0	1236	90
104	55.806606	8.657993	1	0	1236	90
105	56.488030	8.612240	1	0	1236	90
106	56.516638	8.933642	1	0	1236	90
107	56.361810	8.607960	1	0	1236	90
