Random1000
 
VEHICLE
NUMBER     CAPACITY
  8           1


CUSTOMER						
CUST NO,   XCOORD,	YCOORD,      DEMAND  READY TIME DUE DATE SERVICE TIME   
						
0	55.179139	8.749196	0	0	1236	0
1	55.58866602	8.98256114	0	0	1236	0
2	56.11758898	8.77631721	0	0	1236	0
3	55.87980655	9.02069012	0	0	1236	0
4	56.46786022	10.15187434	0	0	1236	0
5	56.78868223	9.6314021	0	0	1236	0
6	55.09213876	9.41740446	0	0	1236	0
7	55.264818	9.402603	0	0	1236	0
8	56.823594	9.082085	1	0	1236	90
9	56.870576	9.443437	1	0	1236	90
10	56.278692	9.413281	1	0	1236	90
11	56.323577	10.198890	1	0	1236	90
12	57.071574	10.228678	1	0	1236	90
13	56.439643	8.596106	1	0	1236	90
14	56.113360	9.008225	1	0	1236	90
15	56.573044	8.255912	1	0	1236	90
16	55.120310	9.284150	1	0	1236	90
17	56.159542	10.100686	1	0	1236	90
18	56.165571	9.191711	1	0	1236	90
19	57.451441	10.391455	1	0	1236	90
20	56.434989	10.390395	1	0	1236	90
21	56.924204	9.920070	1	0	1236	90
22	55.904695	9.272222	1	0	1236	90
23	57.118665	9.344794	1	0	1236	90
24	56.383745	8.774787	1	0	1236	90
25	55.542310	9.265533	1	0	1236	90
26	56.726822	8.870432	1	0	1236	90
27	55.886076	8.365696	1	0	1236	90
28	56.487762	8.840806	1	0	1236	90
29	57.292087	10.364256	1	0	1236	90
30	55.159328	9.175673	1	0	1236	90
31	57.243590	9.623764	1	0	1236	90
32	56.252018	8.444127	1	0	1236	90
33	55.929328	9.507815	1	0	1236	90
34	55.903194	9.044644	1	0	1236	90
35	56.814482	8.951372	1	0	1236	90
36	56.433181	9.719155	1	0	1236	90
37	56.977553	9.091146	1	0	1236	90
38	56.272467	10.573028	1	0	1236	90
39	55.891593	9.665665	1	0	1236	90
40	57.295816	10.164995	1	0	1236	90
41	55.711300	9.375109	1	0	1236	90
42	56.175337	8.896087	1	0	1236	90
43	56.473855	10.053270	1	0	1236	90
44	55.729662	9.711346	1	0	1236	90
45	57.552675	10.304323	1	0	1236	90
46	56.168294	9.852994	1	0	1236	90
47	56.945156	10.174448	1	0	1236	90
48	56.446507	9.553263	1	0	1236	90
49	56.697691	10.216835	1	0	1236	90
50	56.174186	9.116646	1	0	1236	90
51	56.909493	8.989045	1	0	1236	90
52	55.572460	9.183198	1	0	1236	90
53	55.239617	9.291514	1	0	1236	90
54	55.302531	9.624542	1	0	1236	90
55	57.057407	8.766321	1	0	1236	90
56	56.728282	8.487110	1	0	1236	90
57	57.028759	9.303572	1	0	1236	90
58	56.961642	9.703610	1	0	1236	90
59	55.398560	8.940605	1	0	1236	90
60	56.402425	9.702491	1	0	1236	90
61	55.661147	9.267935	1	0	1236	90
62	55.939779	9.680951	1	0	1236	90
63	57.109530	10.287520	1	0	1236	90
64	55.951272	9.011868	1	0	1236	90
65	56.425071	9.642549	1	0	1236	90
66	56.940279	9.609077	1	0	1236	90
67	57.202156	9.924444	1	0	1236	90
68	56.298919	8.696658	1	0	1236	90
69	56.468517	9.765130	1	0	1236	90
70	56.507638	9.939611	1	0	1236	90
71	55.876906	9.520415	1	0	1236	90
72	57.086381	9.902204	1	0	1236	90
73	54.906798	9.128558	1	0	1236	90
74	56.104486	9.642395	1	0	1236	90
75	56.809822	8.766003	1	0	1236	90
76	56.306120	8.368605	1	0	1236	90
77	56.261733	10.287216	1	0	1236	90
78	55.761226	9.650037	1	0	1236	90
79	56.665210	9.610244	1	0	1236	90
80	54.888475	9.325082	1	0	1236	90
81	57.200174	10.256789	1	0	1236	90
82	56.142304	9.773272	1	0	1236	90
83	55.583137	8.488686	1	0	1236	90
84	55.699655	9.307433	1	0	1236	90
85	55.346604	9.292907	1	0	1236	90
86	56.250483	10.113727	1	0	1236	90
87	55.890601	8.783805	1	0	1236	90
88	57.335909	9.713435	1	0	1236	90
89	56.711314	10.177278	1	0	1236	90
90	56.587365	8.717890	1	0	1236	90
91	56.093186	8.406885	1	0	1236	90
92	57.047609	9.418090	1	0	1236	90
93	55.674104	8.766971	1	0	1236	90
94	56.752835	8.859671	1	0	1236	90
95	55.572548	8.680103	1	0	1236	90
96	55.413190	8.792196	1	0	1236	90
97	57.252252	10.385612	1	0	1236	90
98	55.775645	8.487718	1	0	1236	90
99	56.133229	9.171532	1	0	1236	90
100	56.520486	9.232321	1	0	1236	90
101	56.340261	9.590884	1	0	1236	90
102	56.916324	10.209056	1	0	1236	90
103	57.540946	10.362915	1	0	1236	90
104	56.689063	8.792981	1	0	1236	90
105	56.920514	9.183348	1	0	1236	90
106	56.879012	9.033839	1	0	1236	90
107	56.746193	8.428986	1	0	1236	90
108	55.801735	9.482856	1	0	1236	90
109	56.308979	9.025619	1	0	1236	90
110	56.979354	9.789059	1	0	1236	90
111	57.055908	8.707782	1	0	1236	90
112	56.704283	8.660629	1	0	1236	90
113	55.560845	9.341377	1	0	1236	90
114	55.236359	8.832063	1	0	1236	90
115	56.749796	9.779531	1	0	1236	90
116	56.744448	9.180965	1	0	1236	90
117	57.082985	10.084149	1	0	1236	90
118	56.206733	9.988797	1	0	1236	90
119	55.964133	9.177523	1	0	1236	90
120	56.369074	10.671165	1	0	1236	90
121	57.004034	10.165307	1	0	1236	90
122	56.382834	10.162326	1	0	1236	90
123	57.235792	10.490462	1	0	1236	90
124	56.430964	9.545057	1	0	1236	90
125	56.226494	9.515550	1	0	1236	90
126	56.462503	8.248606	1	0	1236	90
127	55.781193	8.807797	1	0	1236	90
128	57.423502	10.473340	1	0	1236	90
129	55.428856	9.037503	1	0	1236	90
130	57.047084	9.287643	1	0	1236	90
131	56.108171	9.178488	1	0	1236	90
132	55.977532	8.655327	1	0	1236	90
133	56.546953	8.692395	1	0	1236	90
134	56.863541	8.499363	1	0	1236	90
135	57.501228	10.087351	1	0	1236	90
136	55.176324	9.423449	1	0	1236	90
137	56.258638	9.827850	1	0	1236	90
138	56.074318	9.401708	1	0	1236	90
139	56.965741	8.547470	1	0	1236	90
140	56.630036	10.184101	1	0	1236	90
141	56.837367	9.904875	1	0	1236	90
142	56.020491	9.883538	1	0	1236	90
143	57.052417	9.658374	1	0	1236	90
144	56.997212	9.727216	1	0	1236	90
145	56.203400	9.163885	1	0	1236	90
146	55.583201	9.568153	1	0	1236	90
147	56.210520	9.370083	1	0	1236	90
148	56.637799	9.074114	1	0	1236	90
149	55.577520	8.789250	1	0	1236	90
150	55.493822	9.104974	1	0	1236	90
151	55.598706	8.434337	1	0	1236	90
152	55.586532	9.287221	1	0	1236	90
153	55.261604	9.423310	1	0	1236	90
154	57.243777	9.795570	1	0	1236	90
155	57.092022	10.223373	1	0	1236	90
156	55.642593	8.362110	1	0	1236	90
157	56.790240	8.607724	1	0	1236	90
158	56.651153	8.660486	1	0	1236	90
159	55.748926	8.998001	1	0	1236	90
160	56.406932	9.785359	1	0	1236	90
161	55.428305	8.885991	1	0	1236	90
162	56.187271	9.738096	1	0	1236	90
163	55.856335	9.128521	1	0	1236	90
164	57.012631	9.277906	1	0	1236	90
165	55.559380	8.616571	1	0	1236	90
166	55.781496	9.544066	1	0	1236	90
167	55.055482	8.823465	1	0	1236	90
168	57.030927	10.154976	1	0	1236	90
169	57.455513	10.365551	1	0	1236	90
170	55.003092	9.089970	1	0	1236	90
171	55.825119	9.250909	1	0	1236	90
172	54.888172	9.423551	1	0	1236	90
173	56.206430	9.374665	1	0	1236	90
174	56.791978	9.820030	1	0	1236	90
175	57.141720	9.580729	1	0	1236	90
176	55.111072	9.147067	1	0	1236	90
177	54.927185	8.674642	1	0	1236	90
178	56.293968	9.214363	1	0	1236	90
179	55.162390	9.021560	1	0	1236	90
180	55.945494	8.894491	1	0	1236	90
181	55.870821	9.343346	1	0	1236	90
182	56.357697	10.586295	1	0	1236	90
183	55.908238	10.110425	1	0	1236	90
184	56.972242	8.722418	1	0	1236	90
185	54.959179	9.189853	1	0	1236	90
186	56.485872	10.847845	1	0	1236	90
187	57.571133	10.073331	1	0	1236	90
188	55.632174	9.087161	1	0	1236	90
189	55.474849	9.485747	1	0	1236	90
190	56.016419	8.913528	1	0	1236	90
191	55.980047	8.922102	1	0	1236	90
192	56.850984	9.991997	1	0	1236	90
193	57.044461	9.766117	1	0	1236	90
194	56.007794	9.776480	1	0	1236	90
195	56.719162	10.017361	1	0	1236	90
196	56.559385	9.998478	1	0	1236	90
197	56.794028	9.794033	1	0	1236	90
198	56.271445	8.400770	1	0	1236	90
199	55.920822	9.648042	1	0	1236	90
200	57.483838	10.252546	1	0	1236	90
201	56.698405	9.773307	1	0	1236	90
202	56.431982	9.425630	1	0	1236	90
203	55.844377	8.509678	1	0	1236	90
204	55.646027	9.029359	1	0	1236	90
205	57.264460	9.737318	1	0	1236	90
206	56.825145	10.223981	1	0	1236	90
207	56.183839	9.492676	1	0	1236	90
208	55.733703	9.712352	1	0	1236	90
209	56.253532	9.220750	1	0	1236	90
210	55.993528	8.914293	1	0	1236	90
211	56.051926	9.707279	1	0	1236	90
212	56.143316	9.555795	1	0	1236	90
213	55.725314	9.635310	1	0	1236	90
214	57.060871	9.286979	1	0	1236	90
215	55.183090	8.930014	1	0	1236	90
216	55.906780	9.200341	1	0	1236	90
217	57.048814	9.550182	1	0	1236	90
218	56.300024	9.806477	1	0	1236	90
219	55.493165	9.143343	1	0	1236	90
220	57.343275	10.206611	1	0	1236	90
221	57.610577	10.417629	1	0	1236	90
222	55.050908	9.026802	1	0	1236	90
223	56.083414	9.305105	1	0	1236	90
224	54.920416	9.410450	1	0	1236	90
225	55.177501	9.187844	1	0	1236	90
226	55.544353	9.175879	1	0	1236	90
227	56.882280	9.589356	1	0	1236	90
228	55.831432	9.043087	1	0	1236	90
229	56.733279	10.035113	1	0	1236	90
230	56.231576	10.126462	1	0	1236	90
231	57.001187	9.229504	1	0	1236	90
232	56.622567	10.164389	1	0	1236	90
233	55.653490	9.660245	1	0	1236	90
234	57.263983	9.784826	1	0	1236	90
235	56.672909	8.484978	1	0	1236	90
236	55.214043	9.640019	1	0	1236	90
237	56.376556	8.584743	1	0	1236	90
238	55.797653	9.093847	1	0	1236	90
239	56.024523	9.110797	1	0	1236	90
240	55.088985	9.230706	1	0	1236	90
241	57.552526	10.040458	1	0	1236	90
242	55.540667	8.881851	1	0	1236	90
243	57.369277	10.047466	1	0	1236	90
244	56.377520	10.226196	1	0	1236	90
245	56.984349	9.488180	1	0	1236	90
246	56.582385	8.588197	1	0	1236	90
247	57.465133	10.161940	1	0	1236	90
248	57.266336	10.004165	1	0	1236	90
249	57.427042	9.888957	1	0	1236	90
250	55.691556	9.048622	1	0	1236	90
251	56.304555	9.185512	1	0	1236	90
252	56.828387	8.622034	1	0	1236	90
253	56.284514	8.822635	1	0	1236	90
254	56.380416	8.551944	1	0	1236	90
255	55.734320	8.942212	1	0	1236	90
256	56.732833	9.805696	1	0	1236	90
257	55.580891	9.562411	1	0	1236	90
258	56.045433	9.545717	1	0	1236	90
259	57.238713	10.106367	1	0	1236	90
260	56.731009	9.400979	1	0	1236	90
261	55.803386	9.222864	1	0	1236	90
262	56.939377	10.176377	1	0	1236	90
263	55.798323	8.524726	1	0	1236	90
264	56.501517	10.258690	1	0	1236	90
265	55.357186	9.386167	1	0	1236	90
266	56.898528	9.439470	1	0	1236	90
267	56.230060	8.509875	1	0	1236	90
268	55.115614	9.091327	1	0	1236	90
269	55.614824	9.367576	1	0	1236	90
270	56.403077	10.351528	1	0	1236	90
271	56.836655	9.221152	1	0	1236	90
272	56.352841	10.578876	1	0	1236	90
273	56.764502	10.081720	1	0	1236	90
274	56.887066	9.721327	1	0	1236	90
275	55.191989	8.994786	1	0	1236	90
276	55.232466	8.842642	1	0	1236	90
277	56.367898	9.845121	1	0	1236	90
278	56.777045	9.743117	1	0	1236	90
279	55.229195	9.109120	1	0	1236	90
280	56.312820	10.371826	1	0	1236	90
281	55.508003	8.523466	1	0	1236	90
282	54.899187	9.044960	1	0	1236	90
283	57.291767	9.703805	1	0	1236	90
284	55.830265	8.886023	1	0	1236	90
285	55.964267	9.466558	1	0	1236	90
286	56.613349	9.218219	1	0	1236	90
287	55.643576	9.525741	1	0	1236	90
288	55.749182	9.320069	1	0	1236	90
289	56.951148	9.439431	1	0	1236	90
290	55.875727	9.342172	1	0	1236	90
291	57.360285	9.826278	1	0	1236	90
292	55.339347	9.188474	1	0	1236	90
293	57.057741	9.755988	1	0	1236	90
294	57.560208	9.963966	1	0	1236	90
295	56.551034	9.064973	1	0	1236	90
296	54.970910	8.716131	1	0	1236	90
297	57.107911	10.189087	1	0	1236	90
298	56.001964	9.807754	1	0	1236	90
299	55.605646	9.063191	1	0	1236	90
300	55.706282	8.710586	1	0	1236	90
301	55.681044	9.108986	1	0	1236	90
302	56.358957	8.499801	1	0	1236	90
303	57.106078	10.013222	1	0	1236	90
304	56.451046	10.450461	1	0	1236	90
305	55.162331	8.730733	1	0	1236	90
306	57.017079	8.683893	1	0	1236	90
307	56.817902	10.184599	1	0	1236	90
308	55.868188	9.304681	1	0	1236	90
309	56.785422	8.521207	1	0	1236	90
310	55.623154	9.228772	1	0	1236	90
311	57.106404	10.277778	1	0	1236	90
312	55.026266	9.066803	1	0	1236	90
313	56.584789	9.383267	1	0	1236	90
314	55.313505	9.249328	1	0	1236	90
315	55.810083	9.624558	1	0	1236	90
316	55.310710	9.404025	1	0	1236	90
317	55.670347	8.449462	1	0	1236	90
318	56.506457	9.746244	1	0	1236	90
319	55.791758	8.835866	1	0	1236	90
320	57.071124	9.775477	1	0	1236	90
321	56.240730	8.491836	1	0	1236	90
322	56.115710	10.158560	1	0	1236	90
323	56.251727	9.514885	1	0	1236	90
324	56.192149	9.132426	1	0	1236	90
325	56.818273	10.200940	1	0	1236	90
326	55.875574	9.696765	1	0	1236	90
327	57.101613	10.182851	1	0	1236	90
328	55.589515	8.788720	1	0	1236	90
329	55.236939	8.895565	1	0	1236	90
330	56.274595	9.523833	1	0	1236	90
331	57.083504	8.628482	1	0	1236	90
332	55.064682	8.849472	1	0	1236	90
333	56.493837	10.533534	1	0	1236	90
334	54.992504	9.255386	1	0	1236	90
335	56.497736	9.858122	1	0	1236	90
336	56.240837	10.622636	1	0	1236	90
337	56.255575	9.629531	1	0	1236	90
338	55.550025	9.604117	1	0	1236	90
339	57.291115	10.072364	1	0	1236	90
340	56.260190	8.682737	1	0	1236	90
341	55.486901	9.321686	1	0	1236	90
342	55.686201	9.007534	1	0	1236	90
343	55.544363	8.385357	1	0	1236	90
344	56.836697	8.812085	1	0	1236	90
345	55.950340	10.026794	1	0	1236	90
346	56.879442	9.068726	1	0	1236	90
347	56.394008	10.076248	1	0	1236	90
348	55.373227	8.723195	1	0	1236	90
349	56.958514	9.694369	1	0	1236	90
350	57.386197	10.129497	1	0	1236	90
351	57.039742	10.071819	1	0	1236	90
352	55.198603	8.771578	1	0	1236	90
353	57.120412	8.905969	1	0	1236	90
354	57.296138	9.692474	1	0	1236	90
355	56.170152	9.138740	1	0	1236	90
